rank_overall,screenshot_n,rank_in_screenshot,player,season_or_series,set_parallel,mint_count,asp_usd,est_usd,confidence,notes
73,2,23,LeBron James,2024-25 / Series 1,Base Set,1500,858,,low,
74,2,24,Dikembe Mutombo,2024-25 / Series 4,Run It Back: Legacy,,843,,low,
75,2,25,Elgin Baylor,2024-25 / Series 4,Heroes of the Game,142,849,,low,
76,2,26,Victor Wembanyama,2024-25 / Series 4,Metallic Gold LE,,870,,low,
77,2,27,John Havlicek,2024-25 / Series 4,Heroes of the Game,,847,,low,
78,2,28,Zion Williamson,2024-25 / Series 4,Holo MMXX,25,838,,low,
79,2,29,Steph Curry,2023-24 / Series 3,Holo Icon,15,807,,low,
80,2,30,LeBron James,2024-25 / Series 4,The Anthology: LeBron,,794,,low,
81,2,31,Joel Embiid,2024-25 / Series 4,Holo MMXX,25,794,,low,
82,2,32,Jalen Williams,2024-25 / Series 4,Holo Icon,19,794,,low,
83,2,33,Anthony Edwards,2024-25 / Series 4,Holo Icon,19,759,,low,
84,2,34,Nikola Jokic,2024-25 / Hardware,Hardware,19,775,,low,
85,2,35,Tyrese Haliburton,2024-25 / Series 4,Holo Icon,19,770,,low,
86,2,36,Paul George,2024-25 / Series 4,Holo Icon,25,750,,low,
87,2,37,Anthony Davis,2024-25 / Series 4,Holo MMXX,,750,,low,
88,2,38,Rui Hachimura,2024-25 / Series 4,Cosmic,49,738,,low,
89,2,39,Pete Maravich,2024-25 / Series 4,Heroes of the Game,,719,,low,
90,2,40,Zion Williamson,2024-25 / Series 4,Cosmic,,719,,low,
91,2,41,LeBron James,2024-25 / Series 4,Run It Back: Legacy,142,712,,low,
92,2,42,Victor Wembanyama,2023-24 / Series 3,Freshmen Gems,799,710,,low,
93,2,43,Ken Eriksson,2025-26 / Series 2,Metallic Gold LE,,710,,low,
94,2,44,Amen Thompson,2024-25 / Series 4,Rookie Revelation,,705,,low,
95,2,45,Giannis Antetokounmpo,2024-25 / Series 4,2025 NBA Finals,,703,,low,
96,2,46,Jayson Tatum,2023-24 / Series 3,Holo Icon,25,702,,low,
97,2,47,Oscar Robertson,2024-25 / Series 4,Heroes of the Game,,700,,low,
98,2,48,Giannis Antetokounmpo,2024-25 / Series 4,Holo Icon,19,699,,low,
99,2,49,LaMelo Ball,2024-25 / Series 4,Holo Icon,19,668,,low,
100,2,50,Anthony Edwards,2024-25 / Series 4,Top Shot 50,51,662,,low,
101,3,1,Steph Curry,Series 4,The Anthology,,,,low,"top row partially cut off, values unreadable"
102,3,2,George Gervin,Series 3,Heroes of the Game,,,,low,
103,3,3,LeBron James,Series 3,Holo Icon,99,,,low,
104,3,4,Ja Morant,Series 3,Holo Icon,51,,,low,
105,3,5,Rick Barry,2024-25,Heroes of the Game,,,,low,
106,3,6,Luka Doncic,2024-25,Holo Icon,50,,,low,
107,3,7,Kawhi Leonard,Series 3,Holo Icon,50,,,low,
108,3,8,Nikola Jokic,Series 3,Holo MMXX,,,,low,
109,3,9,Derek Fisher,2023-24,Series 3,,,,low,
110,3,10,LeBron James,Series 3,Holo Icon,,,,low,
111,3,11,Luka Doncic,Series 3,Metallic Gold LE,,,,low,
112,3,12,Christian Wood,Series 3,Metallic Gold LE,,,,low,
113,3,13,LeBron James,Series 3,The Finals,75,,,low,
114,3,14,Cooper Flagg,2025-26,Freshman Gems,,,,low,
115,3,15,Luka Doncic,Series 4,Top Shot SC,,,,low,
116,3,16,Damian Lillard,Series 3,Cosmic,,,,low,
117,3,17,John Collins,Series 1,Metallic Gold LE,,,,low,
118,3,18,Kyrie Irving,Series 1,Holo MMXX,,,,low,
119,3,19,Aaron Gordon,Series 3,Cosmic,49,,,low,
120,3,20,LaMelo Ball,Series 3,Holo Icon,,,,low,
121,3,21,LeBron James,Series 4,The Anthology,,,,low,
122,3,22,Paolo Banchero,Series 4,Rookie Revelation,,,,low,
123,3,23,Jalen McGee,Series 3,Damed?,,,,low,
124,3,24,Luka Doncic,Series 3,Holo Icon,,,,low,
125,3,25,Nikola Jokic,2023-24,2023-24 Hardware,,,,low,
126,3,26,Nikola Jokic,Series 3,Holo Icon,,,,low,
127,3,27,Kawhi Leonard,Series 1,Cosmic,,,,low,
128,3,28,Ben Simmons,Series 2,Cosmic,,,,low,
129,3,29,Anthony Edwards,2023-24,Holo Icon,,,,low,
130,3,30,Earl Monroe,2024-25,Heroes of the Game,,,,low,
131,3,31,Tyler Herro,Series 1,Lace 'Em Up,,,,low,
132,3,32,Chris Paul,Series 3,Holo Icon,,,,low,
133,3,33,Stephon Castle,2024-25,Rookie Revelation,,,,low,
134,3,34,Luka Doncic,Series 2,Deck the Hoops,,,,low,
135,3,35,Jrue Holiday,Series 2,2021 NBA Finals,,,,low,
136,3,36,Shai Gilgeous-Alexander,2024-25,Holo Icon,,,,low,
137,3,37,Dennis Schroder,Series 3,Holo Icon,,,,low,
138,3,38,Paolo Banchero,2022-23,Hardware,,,,low,
139,3,39,Anthony Davis,Series 3,2020 NBA Finals,,,,low,
140,3,40,Jaylen Brown,Series 3,Holo MMXX,,,,low,
141,3,41,Kyrie Irving,Series 4,The Anthology,,,,low,
142,3,42,Kevin Durant,Series 1,Holo Icon,,,,low,
143,3,43,LeBron James,Series 1,First Round,,,,low,
144,3,44,Jaylen Brown,Series 3,Holo Icon,,,,low,
145,3,45,Victor Wembanyama,2025-26,Holo Icon,,,,low,
146,3,46,Caitlin Clark,Series 3,WNBA Metallic Gold,,,,low,
147,3,47,Devin Booker,Series 3,Holo MMXX,,,,low,
148,3,48,Paige Bueckers,2024-25,WNBA Rookie Debut,,,,low,
149,3,49,Nikola Jokic,Series 4,"Run It Back, Legacy",,,,low,
150,3,50,Luka Doncic,2023-24,2019 NBA Finals,,,,low,
151,4,1,VJ Edgecombe,2025-26,WNBA Fresh Gem,,,,low,ASP and est values too pixelated
152,4,2,Paige Bueckers,2024-25,WNBA Fresh Gem,,,,low,
153,4,3,RJ Barrett,Series 5,2023-24,,,,low,
154,4,4,LeBron James,Series 1,Throwdowns,,,,low,
155,4,5,Karl-Anthony Towns,Series 1,Hardware,,,,low,
156,4,6,Ron Knuepper,2025-26,Freshman Gems,,,,low,
157,4,7,James Harden,Series 1,,,,,low,
158,4,8,Anthony Edwards,2024-25,2025 NBA Playoff,,,,low,
159,4,9,Tim Duncan,Series 3,"Run It Back, Legac",,,,low,
160,4,10,Cade Cunningham,2024-25,Holo Icon,,,,low,
161,4,11,Dave DeBusschere,2024-25,Heroes of the Game,,,,low,
162,4,12,Steph Curry,Series 4,Top Shot 50,,,,low,
163,4,13,Nikola Jokic,Series 5,Holo Icon,,,,low,
164,4,14,LeBron James,Series 1,Holo Icon,,,,low,
165,4,15,Jimmy Butler,Series 1,Cosmic,,,,low,
166,4,16,Jamal Murray,Series 1,Metallic Gold LE,,,,low,
167,4,17,Shai Gilgeous-Alexander,Series 1,Metallic Gold LE,,,,low,
168,4,18,Nikola Jokic,2024-25,Holo Icon,,,,low,
169,4,19,Evan Mobley,2024-25,Hardware,,,,low,
170,4,20,Nikola Jokic,Series 4,Holo Icon,,,,low,
171,4,21,LeBron James,Series 4,Top Shot 50,,,,low,
172,4,22,Steph Curry,Series 1,Holo Icon,,,,low,
173,4,23,VJ Edgecombe,2025-26,Rookie Debut,,,,low,
174,4,24,Steph Curry,Series 4,The Anthology,,,,low,
175,4,25,Jalen Williams,Series 4,Rookie Revelation,,,,low,
176,4,26,Zach LaVine,Series 1,From the Top,,,,low,
177,4,27,James Harden,Series 1,From the Top,,,,low,
178,4,28,Sione Citron,2024-25,WNBA Rookie Rev,,,,low,
179,4,29,Kevin Durant,Series 2,Holo MMXX,,,,low,
180,4,30,Pascal Siakam,Series 1,Holo MMXX,,,,low,
181,4,31,Anthony Edwards,Series 3,Holo Icon,,,,low,
182,4,32,Hakeem Olajuwon,Series 4,"Run It Back, Legac",,,,low,
183,4,33,Steph Curry,Series 1,Base Set,,,,low,
184,4,34,Donovan Mitchell,2023-24,Holo MMXX,,,,low,
185,4,35,Donovan Mitchell,2023-24,Hardware,,,,low,
186,4,36,Shai Gilgeous-Alexander,2023-24,Hardware,,,,low,
187,4,37,Cooper Flagg,2025-26,Origins,,,,low,
188,4,38,Dwyane Wade,Series 3,Deck the Hoops,,,,low,
189,4,39,Dennis Rodman,2023-24,"Run It Back, Legac",,,,low,
190,4,40,Brogdon Bogdanovic,Series 1,Holo MMXX,,,,low,
191,4,41,Jaylen Brown,Series 1,Metallic Gold LE,,,,low,
192,4,42,Steph Curry,Series 3,Holo Icon,,,,low,
193,4,43,Ron Knuepper,2025-26,Origins,,,,low,
194,4,44,Tracy McGrady,Series 3,NBA All-Star Class,,,,low,
195,4,45,Cooper Flagg,2025-26,Freshman Gems,,,,low,
196,4,46,Chet Holmgren,2025-26,Rookie Revelation,,,,low,
197,4,47,Cooper Flagg,2025-26,Metallic Gold LE,,,,low,
198,4,48,Tyler Herro,Series 1,2020 NBA Finals,,,,low,
199,4,49,Giannis Antetokounmpo,Series 1,From the Top,,,,low,
200,5,1,Eric Gordon,Series 1,Holo Icon,49,400,455,high,
201,5,2,LaMelo Ball,Series 3,Holo Icon,6,400,544,high,
202,5,3,Nikola Jokic,2023-24,2023-24 Honors,10,399,399,high,
203,5,4,Kevin Durant,2024-25,Holo Icon,50,399,375,high,
204,5,5,Josh Giddey,Series 3,Holo Icon,50,399,330,high,
205,5,6,Coby White,Series 1,Holo MMXX,50,398,433,high,
206,5,7,Shai Gilgeous-Alexander,2023-24,Holo Icon,50,397,414,high,
207,5,8,Dirk Nowitzki,Series 3,NBA All-Star Class,50,395,350,high,
208,5,9,Billy Cunningham,2024-25,Heroes of the Game,10,391,430,high,
209,5,10,Buddy Hield,Series 1,Cosmic,49,390,503,high,
210,5,11,LeBron James,2025-26,Metallic Gold LE,10,387,387,high,
211,5,12,Larry Bird,Series 4,The Anthology: La,86,385,385,high,
212,5,13,Jeff Hornacek,Series 3,NBA All-Star Class,50,385,451,high,
213,5,14,Luka Doncic,Series 4,Run It Back: Origin,211,384,396,high,
214,5,15,Jabari Smith Jr.,Series 4,Rookie Revelation,45,382,386,high,
215,5,16,Cooper Flagg,2025-26,Rookie Debut,99,381,477,high,
216,5,17,Shai Gilgeous-Alexander,Series 4,Top Shot 50,99,381,336,high,
217,5,18,Steph Curry,2024-25,NBA Cup,75,380,274,high,
218,5,19,Victor Wembanyama,2023-24,2023-24 Honors,150,377,432,high,
219,5,20,Shai Gilgeous-Alexander,2024-25,Metallic Gold LE,68,377,428,high,
220,5,21,Keegan Murray,Series 4,Rookie Revelation,52,376,343,high,
221,5,22,VJ Edgecombe,2025-26,Origins,10,375,375,high,
222,5,23,Tyrese Haliburton,2024-25,2025 NBA Playoff,75,375,375,high,
223,5,24,Derrick Rose,Series 1,Holo MMXX,50,375,415,high,
224,5,25,Ja Morant,Series 1,With the Strip,150,373,350,medium,"set name partially obscured, appears to be 'With the Strip(es)' or similar"
